source,target,label
damage,industry,cause-effect
shortage,riot,cause-effect
lighting,work,others
baker,handle,others
wall,experience,others
element,literature,others
question,cultural differences,others
astronaut,capsule,others
money,chest,others
ethanol,factory,others
journal,history,others
abuse,swelling,cause-effect
dust,alarm,others
Lesion,leg weakness,cause-effect
alliance,brand,others
plasma,discharge,cause-effect
gift,friend,others
project,art,others
spread,book,others
clot,seizure,cause-effect
murder,conviction,cause-effect
paper,staff,others
incoming water,stain,cause-effect
page,tankard,others
Asteroid,disaster,others
Stimulation,latency,cause-effect
extinction,deforestation,others
distraction,incident,cause-effect
Consideration,case,others
vapor,swelling,cause-effect
hunter,cave,others
disorder,drinking,cause-effect
energy,source,others
reproductive toxicity,nitrite,cause-effect
suffering,bomb,cause-effect
accident,power outage,cause-effect
factory,glas,others
Storm,loss,cause-effect
motive,trial,others
cistern,liquid,others
headache,allergy,others
artwork,exhibit,others
family,taxi,others
statue,head,others
incident,injury,cause-effect
light,face,cause-effect
devastation,fire,cause-effect
fear,stab,cause-effect
fortres,tower,others
Wind,weathering,cause-effect
Endometriosi,infertility,cause-effect
event,dissolution,cause-effect
turtle,shell,others
flu,fever,cause-effect
camaraderie,supporter,others
sunlight,fatigue,cause-effect
tritium,water,others
Lesion,hemiparesi,cause-effect
deformation,filling,cause-effect
bombing,death,cause-effect
neighbour,fence,others
compilation,consideration,others
program,poem,others
spill,hurricane,cause-effect
government,agency,others
tsunami,displacement,cause-effect
disease,gene mutations,cause-effect
collision,crash,cause-effect
manna,pot,others
Cancellation,mail,others
crisi,sector,others
founder,agency,others
prisoner,tunnel,others
protocol,implementation,others
line,terminal,others
disturbance,overpopulation,others
weather,front pages,others
Tide,gravitational pull,cause-effect
speech,belief,others
Fainting,unconsciousnes,cause-effect
hunger,unrest,cause-effect
NOT FOUND,NOT FOUND,others
treadmill,space station,others
elephant,toe,others
outline,spirituality,others
hand,tomb,others
plurality,feature,others
power supply,power-pack,others
drama,real events,others
entrance,east,others
Alcohol,suicide,cause-effect
hair loss,stres,cause-effect
artist,crayon,others
datum,epoch,others
dollar,trust,others
cement,form,others
rouleau,cell,others
infection,disease,cause-effect
architect,strip,others
Power,reaction,cause-effect
slide,crew,others
effect,light,others
senior,datum,others
wind,draft,cause-effect
fear,power,cause-effect
Methadone,buzz,others
box,box,others
sadnes,fear,others
paddle,canister,others
wine,jeroboam,others
pollution,warming,cause-effect
flour,bowl,others
Hiring,beer,others
Stroke,death,cause-effect
cadre,combination,others
regulation,acces,others
flood,rain,cause-effect
topic,category,others
Hiccup,spasm,cause-effect
story,conquest,others
devastation,wave,cause-effect
gun,safe,others
satisfaction,watching,others
chemical,gland,cause-effect
sound,viper,others
tsunami,earthquake,others
pollution,smog,cause-effect
coalition,activity,others
dizzines,injury,cause-effect
airstrike,explosion,cause-effect
damage,hallucinogen,cause-effect
document,interrogation,others
Roundworm,parasite,cause-effect
breakdown,war,cause-effect
infection,malodor,cause-effect
light,turret,others
preform,bottle,others
film,tenacity,others
nursery,star,others
flooding,clogging,cause-effect
evacuation,accident,others
piece,hutch,others
fat,disease,cause-effect
item,store,others
module,browser,others
author,book,others
fear,robber,others
activation,source,others
mushroom,mas,others
frustration,debugging,others
threat,television,others
evacuation,war,others
wind,fire,cause-effect
speech,combustion,cause-effect
humiliation,person,cause-effect
tooth,root,others
energy,source,others
fume,irritation,cause-effect
performance,company,others
contamination,residue,cause-effect
olive oil,salad,others
text,grammar,others
Unemployment,abuse,cause-effect
archive,month,others
fatigue,pain,cause-effect
merger,opposition,others
light,table-lamp,others
artisan,burin,others
water,river,others
creature,scare,cause-effect
intellect,pen,others
streak,particle,cause-effect
Tsunami,displacement,cause-effect
misinterpretation,word,cause-effect
devastation,earthquake,cause-effect
document,drug,others
complication,irradiation,cause-effect
ointment,eyelid,others
squatter,building,others
Rain,power outage,cause-effect
article,experience,others
disturbance,erosion,cause-effect
tick,discomfort,cause-effect
virus,infection,cause-effect
team,insulation,others
necklace,chain,others
fungi,disease,cause-effect
phone,prototype stage,others
article,difficulty,others
horse,stud,others
veto,president,others
light,friend,cause-effect
effect,way,others
Inhalation,irritation,others
body,laundry bag,others
meme,copy,others
species,country,others
news,plane,others
boy,windmill,others
box,system,others
piece,story,others
title,book,others
acne,cosmetic,cause-effect
papillomaviru,wart,cause-effect
rule,criterion,others
force,joystick,cause-effect
flu,stres,cause-effect
tank,bunker,others
hole,missile,cause-effect
heat,metamorphism,cause-effect
wave,nausea,cause-effect
master,stick,others
flooding,cyclone,cause-effect
meal,rice,others
squad,shot,others
electrical short,fire,cause-effect
damage,earthquake,cause-effect
screaming,shooting,others
vibration,movement,cause-effect
post,writer,others
organization,resource,others
boredom,violence,cause-effect
paddling,duck,others
trial,day,others
beam,emission,cause-effect
maternity wards,chao,others
criticism,religion,others
staff,tool,others
receiver,tone,others
song,contest,others
dust,nosebleed,cause-effect
photographer,camera,others
orange slices,meal,others
Cancer,illnes,cause-effect
casket,ring,others
debate,kiosk,others
dip,y-ray,cause-effect
daughter,coma,others
player,string,others
plague,insect,others
ray theory,layer,others
infection,fungu,cause-effect
hostel,building,others
irritant,coughing,cause-effect
damage,viru,cause-effect
jump,deterioration,others
method,combination,others
treaty,rule,others
toxin,odor,cause-effect
strike,death,cause-effect
debt,stres,cause-effect
ham,sandwich,others
injury,person,cause-effect
wax,worker,others
crisi,cost,cause-effect
cable network,science fiction TV shows,others
conflict,wastewater,cause-effect
Victim,room,others
plant material,suburb,others
pleasure,suffering,others
remuda,horse,others
universe,hero,others
producer,program,others
body,elder,others
dowel,groove,others
debate,public execution,others
microbe,sicknes,cause-effect
cleaner,burning sensation,cause-effect
view,perspective,others
money,envelope,others
crisi,blockade,cause-effect
legion,swordsman,others
explosion,blast,others
tutorial,musical theory,others
receiver,catch,others
Chocolate,acne,cause-effect
Bibliometric,research evaluation,others
agreement,diversion,cause-effect
award,project,others
steroid,hypertension,cause-effect
crisi,jobless rate,cause-effect
battery,power,others
drag,atmosphere,cause-effect
cat,trap,others
electrician,tool,others
medicine,patient,others
nuclear energy,pollution,cause-effect
